Status,Week #,Date (Sun),Special Note
success,Term 1 Begins,,
danger,1,10-Sep-23,First day of school
,2,17-Sep-23,
,3,24-Sep-23,
warning,4,1-Oct-23,Test 1 - Project
,5,8-Oct-23,
,6,15-Oct-23,
,7,22-Oct-23,
warning,8,29-Oct-23,Test 2
info,,5-Nov-23,Holiday - WinterBreak
info,,12-Nov-23,Holiday - WinterBreak
,9,19-Nov-23,
info,,26-Nov-23,Holiday - Thanksgiving
,10,3-Dec-23,
,11,10-Dec-23,
warning,12,17-Dec-23,Test 3
info,,24-Dec-23,Holiday - Christmas
info,,31-Dec-23,Holiday - New year
success,Term 1 ends & Term 2 starts,,
,13,7-Jan-24,
info,,14-Jan-24,Holiday - ML King's Birthday
,14,21-Jan-24,
,15,28-Jan-24,
warning,16,4-Feb-24,Test 4 - Project 2
,17,11-Feb-24,
info,,18-Feb-24,Holiday - Winter Break
danger,,24-Feb-24,Children Competitions
,18,25-Feb-24,
,19,3-Mar-24,
warning,20,10-Mar-24,Test 5
,21,17-Mar-24,
,22,24-Mar-24,
success,Term 2 ends & Term 3 starts,,
info,,31-Mar-24,Holiday - Spring break
info,,7-Apr-24,Holiday - Spring break
warning,23,14-Mar-24,Test 6
info,,20-Apr-24,Annual Day
,24,21-Apr-24,
,25,28-Apr-24,
,26,5-May-24,
warning,27,12-May-24,Test 7
,28,19-May-24,
info,,26-May-24,Holiday - Memorial Day
,29,2-Jun-24,
,30,9-Jun-24,
warning,31,16-Jun-24,Test - Final Exam
info,32,23-Jun-24,Graduation Day
